employee_id,name,department,role,standard_rate,cost_rate,capacity_hours
87,Maria Parker,Sales,Account Executive,100.63,59.46,40.0
88,Kevin Oconnor,Marketing,Marketing Manager,127.42,78.41,40.0
89,Edward Burgess,Sales,Sales Manager,117.96,72.59,40.0
90,Carlos Ryan,Design,UI Designer,94.84,57.96,40.0
91,Kiara Mcintyre,Product Management,Product Owner,87.5,51.47,30.0
92,Dawn Summers,Product Management,Product Manager,119.75,73.7,20.0
93,Dr. Paul Morgan,DevOps,DevOps Lead,156.95,95.29,40.0
94,Victor Taylor,QA,Senior QA Engineer,109.95,65.97,40.0
95,Shannon Ramsey,Data Science,Senior Data Scientist,143.1,83.48,20.0
96,Tracy Ballard,Product Management,Product Manager,125.92,77.49,40.0
97,Richard Smith,Marketing,Digital Marketer,84.59,49.76,40.0
98,Jordan Chambers,Marketing,Digital Marketer,77.64,45.67,20.0
99,Lauren Carson,Development,Senior Developer,102.96,61.78,40.0
100,Ashley Hall,QA,QA Engineer,100.32,60.19,40.0
