phase_id,matter_id,name,status,planned_start,planned_end,actual_start,actual_end,planned_hours,actual_hours,responsible_attorney
26,6,Case Assessment,Completed,2024-10-23,2025-02-24,2024-10-23,2025-02-02,214,196,David Williams
27,6,Discovery,Delayed,2025-02-24,2025-06-18,2025-03-06,2025-07-08,214,0,David Williams
28,6,Motion Practice,Completed,2025-06-18,2025-09-30,2025-06-18,2025-09-22,214,174,David Williams
29,6,Trial Preparation,Completed,2025-09-30,2026-01-01,2025-09-30,2025-12-17,214,294,David Williams
30,6,Trial,Completed,2025-12-23,2026-03-25,2025-12-23,2026-03-19,214,277,Jessica Diaz
31,6,Appeal,Delayed,2026-03-25,2026-06-05,2026-04-08,2026-06-09,214,0,Jessica Diaz
32,7,Due Diligence,Completed,2024-12-22,2025-01-27,2024-12-22,2025-01-29,189,250,Crystal Watkins
33,7,Negotiation,Completed,2025-01-27,2025-03-01,2025-01-27,2025-03-02,189,245,Crystal Watkins
34,7,Documentation,Completed,2025-03-01,2025-03-31,2025-03-01,2025-04-01,189,255,Crystal Watkins
35,7,Closing,Delayed,2025-03-23,2025-04-27,2025-03-30,2025-05-06,189,0,Crystal Watkins
36,8,Document Collection,Completed,2023-11-10,2023-12-16,2023-11-10,2023-12-23,48,58,Jonathan Winters
37,8,Document Review,Completed,2023-12-16,2024-01-18,2023-12-16,2024-01-19,48,40,John Vang
38,8,Interviews,Delayed,2024-01-15,2024-02-17,2024-01-25,2024-03-02,48,0,John Vang
39,8,Analysis,Completed,2024-02-10,2024-03-15,2024-02-10,2024-03-15,48,59,John Vang
40,8,Report Preparation,Delayed,2024-03-15,2024-04-08,2024-03-24,2024-04-14,48,0,Jonathan Winters
41,9,Document Collection,Completed,2022-11-23,2023-02-05,2022-11-23,2023-02-05,10,12,Janet Nguyen
42,9,Document Review,Completed,2023-02-05,2023-04-13,2023-02-05,2023-04-13,10,8,Janet Nguyen
43,9,Interviews,Delayed,2023-04-05,2023-06-13,2023-04-11,2023-06-29,10,0,Janet Nguyen
44,9,Analysis,Completed,2023-06-13,2023-08-07,2023-06-13,2023-08-16,10,8,Brian Barnes
45,9,Report Preparation,Completed,2023-08-07,2023-09-25,2023-08-07,2023-09-25,10,13,Janet Nguyen
46,10,Case Assessment,Planned,2024-08-10,2024-11-15,,,141,0,Janet Nguyen
47,10,Discovery,Planned,2024-11-15,2025-02-12,,,141,0,Janet Nguyen
48,10,Motion Practice,Planned,2025-02-12,2025-05-04,,,141,0,Janet Nguyen
49,10,Trial Preparation,Planned,2025-05-04,2025-07-15,,,141,0,Janet Nguyen
50,10,Trial,Planned,2025-07-15,2025-09-17,,,141,0,Janet Nguyen
51,10,Appeal,Planned,2025-09-16,2025-11-12,,,141,0,Janet Nguyen
52,11,Due Diligence,Completed,2024-11-28,2025-01-14,2024-11-28,2025-01-26,108,96,Alyssa Morales
53,11,Negotiation,Completed,2025-01-14,2025-02-26,2025-01-14,2025-02-26,108,129,Alyssa Morales
54,11,Documentation,In Progress,2025-02-26,2025-04-06,2025-02-26,,108,103,Alyssa Morales
55,11,Closing,Planned,2025-04-06,2025-05-11,,,108,0,Alyssa Morales
56,12,Document Collection,Planned,2024-06-15,2024-07-30,,,398,0,Gabriel Villa
57,12,Document Review,Planned,2024-07-30,2024-09-09,,,398,0,Gary Vasquez
58,12,Interviews,Planned,2024-09-09,2024-10-16,,,398,0,Laurie Watson
59,12,Analysis,Planned,2024-10-06,2024-11-19,,,398,0,Tammy Mayer
60,12,Report Preparation,Planned,2024-11-19,2024-12-19,,,398,0,Gabriel Villa
61,13,Case Assessment,Completed,2024-08-06,2024-10-04,2024-08-06,2024-09-26,185,199,Kimberly Morris
62,13,Discovery,Completed,2024-10-04,2024-11-27,2024-10-04,2024-11-16,185,167,Kimberly Morris
63,13,Motion Practice,Completed,2024-11-27,2025-01-15,2024-11-27,2025-01-16,185,183,Kimberly Morris
64,13,Trial Preparation,Delayed,2025-01-14,2025-02-28,2025-01-17,2025-02-28,185,0,Kimberly Morris
65,13,Trial,Completed,2025-02-28,2025-04-08,2025-02-28,2025-04-01,185,209,Kimberly Morris
66,13,Appeal,Completed,2025-04-08,2025-05-12,2025-04-08,2025-05-09,185,180,Gabriel Villa
67,14,Document Collection,Planned,2025-02-01,2025-03-06,,,147,0,Noah Elliott
68,14,Document Review,Planned,2025-03-06,2025-04-05,,,147,0,Noah Elliott
69,14,Interviews,Planned,2025-03-27,2025-05-03,,,147,0,Noah Elliott
70,14,Analysis,Planned,2025-05-03,2025-05-28,,,147,0,Noah Elliott
71,14,Report Preparation,Planned,2025-05-28,2025-06-19,,,147,0,Noah Elliott
72,15,Due Diligence,Planned,2024-12-03,2025-01-02,,,162,0,Edward Walker
73,15,Negotiation,Planned,2025-01-02,2025-01-29,,,162,0,Edward Walker
74,15,Documentation,Planned,2025-01-29,2025-02-23,,,162,0,Edward Walker
75,15,Closing,Planned,2025-02-22,2025-03-17,,,162,0,Alyssa Morales
76,16,Compliance Review,Planned,2024-08-27,2024-12-08,,,182,0,Scott Gonzalez
77,16,Gap Analysis,Planned,2024-12-08,2025-03-13,,,182,0,Scott Gonzalez
78,16,Remediation Plan,Planned,2025-03-13,2025-06-07,,,182,0,Scott Gonzalez
79,16,Implementation,Planned,2025-06-07,2025-08-23,,,182,0,Scott Gonzalez
80,16,Monitoring,Planned,2025-08-23,2025-10-31,,,182,0,Scott Gonzalez
81,17,Case Assessment,Planned,2024-06-09,2024-07-03,,,72,0,Kimberly Morris
82,17,Discovery,Planned,2024-06-25,2024-07-25,,,72,0,Kimberly Morris
83,17,Motion Practice,Planned,2024-07-25,2024-08-14,,,72,0,Kimberly Morris
84,17,Trial Preparation,Planned,2024-08-14,2024-09-01,,,72,0,Kimberly Morris
85,17,Trial,Planned,2024-09-01,2024-09-17,,,72,0,Kimberly Morris
86,17,Appeal,Planned,2024-09-15,2024-10-01,,,72,0,Kimberly Morris
87,18,Document Collection,Planned,2025-02-02,2025-03-02,,,703,0,Tammy Mayer
88,18,Document Review,Planned,2025-02-27,2025-03-28,,,703,0,Marisa Pena
89,18,Interviews,Planned,2025-03-20,2025-04-20,,,703,0,Scott Gonzalez
90,18,Analysis,Planned,2025-04-13,2025-05-11,,,703,0,Scott Gonzalez
91,18,Report Preparation,Planned,2025-05-04,2025-05-30,,,703,0,Scott Gonzalez
92,19,Due Diligence,Completed,2024-02-13,2024-04-28,2024-02-13,2024-04-28,206,190,Brian Williams
93,19,Negotiation,Delayed,2024-04-28,2024-07-05,2024-05-04,2024-07-17,206,0,Rebecca Boyd
94,19,Documentation,Completed,2024-06-25,2024-09-05,2024-06-25,2024-09-05,206,175,Rebecca Boyd
95,19,Closing,Completed,2024-09-05,2024-10-31,2024-09-05,2024-11-12,206,242,Rebecca Boyd
96,20,Compliance Review,Completed,2024-11-27,2025-02-03,2024-11-27,2025-02-25,150,135,Janet Nguyen
97,20,Gap Analysis,In Progress,2025-01-26,2025-04-06,2025-01-26,,150,155,Janet Nguyen
98,20,Remediation Plan,Planned,2025-04-06,2025-06-01,,,150,0,Janet Nguyen
99,20,Implementation,Planned,2025-06-01,2025-07-22,,,150,0,Janet Nguyen
100,20,Monitoring,Planned,2025-07-22,2025-09-05,,,150,0,Janet Nguyen
101,21,Due Diligence,Completed,2022-09-04,2022-12-08,2022-09-04,2022-12-06,753,701,Christopher Graves
102,21,Negotiation,Completed,2022-12-08,2023-03-05,2022-12-08,2023-02-22,753,1030,Janet Nguyen
103,21,Documentation,Completed,2023-02-26,2023-05-23,2023-02-26,2023-05-31,753,881,Lisa Smith
104,21,Closing,Completed,2023-05-23,2023-08-02,2023-05-23,2023-08-07,753,698,Janet Nguyen
105,22,Document Collection,Completed,2025-01-07,2025-04-23,2025-01-07,2025-04-04,61,74,Alyssa Morales
106,22,Document Review,Completed,2025-04-23,2025-07-29,2025-04-23,2025-08-16,61,74,Alyssa Morales
107,22,Interviews,Completed,2025-07-29,2025-10-25,2025-07-29,2025-10-10,61,75,Alyssa Morales
108,22,Analysis,Completed,2025-10-25,2026-01-12,2025-10-25,2026-01-24,61,64,Alyssa Morales
109,22,Report Preparation,Completed,2026-01-12,2026-03-23,2026-01-12,2026-04-03,61,73,Alyssa Morales
110,23,Compliance Review,Planned,2024-04-30,2024-06-24,,,384,0,Scott Gonzalez
111,23,Gap Analysis,Planned,2024-06-24,2024-08-14,,,384,0,Scott Gonzalez
112,23,Remediation Plan,Planned,2024-08-12,2024-09-29,,,384,0,Sandy Price
113,23,Implementation,Planned,2024-09-23,2024-11-09,,,384,0,Scott Gonzalez
114,23,Monitoring,Planned,2024-11-09,2024-12-16,,,384,0,Scott Gonzalez
115,24,Research,Completed,2024-02-23,2024-05-14,2024-02-23,2024-05-06,297,374,David Williams
116,24,Analysis,Completed,2024-05-14,2024-07-28,2024-05-14,2024-07-30,297,326,Barbara Walters
117,24,Draft Opinion,Completed,2024-07-21,2024-10-04,2024-07-21,2024-09-15,297,359,David Williams
118,24,Client Review,Completed,2024-10-03,2024-12-04,2024-10-03,2024-12-07,297,317,David Williams
119,24,Finalization,Delayed,2024-12-04,2025-01-27,2024-12-09,2025-02-18,297,0,David Williams
120,25,Due Diligence,Planned,2024-10-07,2024-12-12,,,414,0,Christopher Graves
121,25,Negotiation,Planned,2024-12-12,2025-02-10,,,414,0,Christopher Graves
122,25,Documentation,Planned,2025-02-10,2025-04-06,,,414,0,Sandy Price
123,25,Closing,Planned,2025-04-05,2025-05-25,,,414,0,Sandy Price
124,26,Compliance Review,Completed,2022-09-30,2023-01-10,2022-09-30,2022-12-21,56,62,David Williams
125,26,Gap Analysis,Completed,2023-01-10,2023-04-13,2023-01-10,2023-03-27,56,69,David Williams
126,26,Remediation Plan,Completed,2023-04-10,2023-07-07,2023-04-10,2023-06-22,56,68,David Williams
127,26,Implementation,Completed,2023-07-04,2023-09-21,2023-07-04,2023-10-02,56,59,David Williams
128,26,Monitoring,Completed,2023-09-21,2023-11-28,2023-09-21,2023-11-17,56,59,David Williams
129,27,Compliance Review,Completed,2025-01-06,2025-05-15,2025-01-06,2025-05-15,21,21,Noah Elliott
130,27,Gap Analysis,Completed,2025-05-15,2025-09-10,2025-05-15,2025-10-01,21,23,Laura Davis
131,27,Remediation Plan,Completed,2025-09-10,2025-12-26,2025-09-10,2025-12-25,21,21,Laura Davis
132,27,Implementation,Completed,2025-12-26,2026-04-02,2025-12-26,2026-03-25,21,22,Noah Elliott
133,27,Monitoring,Delayed,2026-03-27,2026-06-27,2026-04-09,2026-07-12,21,0,Laura Davis
134,28,Case Assessment,Planned,2024-09-27,2024-11-30,,,191,0,Laurie Watson
135,28,Discovery,Planned,2024-11-24,2025-01-28,,,191,0,David Williams
136,28,Motion Practice,Planned,2025-01-28,2025-03-22,,,191,0,David Williams
137,28,Trial Preparation,Planned,2025-03-22,2025-05-09,,,191,0,Brenda Robertson
138,28,Trial,Planned,2025-05-09,2025-06-21,,,191,0,Laurie Watson
139,28,Appeal,Planned,2025-06-17,2025-07-28,,,191,0,Laurie Watson
140,29,Due Diligence,Planned,2023-04-20,2023-08-08,,,118,0,Crystal Watkins
141,29,Negotiation,Planned,2023-08-08,2023-11-16,,,118,0,Crystal Watkins
142,29,Documentation,Planned,2023-11-16,2024-02-15,,,118,0,Crystal Watkins
143,29,Closing,Planned,2024-02-15,2024-05-07,,,118,0,Crystal Watkins
144,30,Case Assessment,Completed,2024-12-21,2025-03-27,2024-12-21,2025-04-06,194,237,Tammy Mayer
145,30,Discovery,Completed,2025-03-27,2025-06-23,2025-03-27,2025-06-17,194,197,Scott Gonzalez
146,30,Motion Practice,Completed,2025-06-13,2025-09-11,2025-06-13,2025-09-09,194,227,Crystal Watkins
147,30,Trial Preparation,Delayed,2025-09-11,2025-11-22,2025-09-14,2025-11-16,194,0,Marisa Pena
148,30,Trial,Completed,2025-11-12,2026-01-25,2025-11-12,2026-01-15,194,170,Crystal Watkins
149,30,Appeal,Completed,2026-01-24,2026-03-22,2026-01-24,2026-03-16,194,211,Marisa Pena
150,31,Research,Planned,2024-10-15,2025-02-18,,,251,0,Janet Nguyen
151,31,Analysis,Planned,2025-02-18,2025-06-14,,,251,0,Barbara Walters
152,31,Draft Opinion,Planned,2025-06-14,2025-09-27,,,251,0,Barbara Walters
153,31,Client Review,Planned,2025-09-18,2025-12-31,,,251,0,Barbara Walters
154,31,Finalization,Planned,2025-12-21,2026-03-25,,,251,0,Janet Nguyen
155,32,Document Collection,Planned,2024-08-13,2024-11-22,,,300,0,Christopher Graves
156,32,Document Review,Planned,2024-11-22,2025-02-23,,,300,0,Christopher Graves
157,32,Interviews,Planned,2025-02-23,2025-05-18,,,300,0,Christopher Graves
158,32,Analysis,Planned,2025-05-18,2025-08-02,,,300,0,Christopher Graves
159,32,Report Preparation,Planned,2025-08-02,2025-10-08,,,300,0,Tammy Mayer
160,33,Research,Planned,2023-01-23,2023-02-13,,,147,0,Kenneth Torres
161,33,Analysis,Planned,2023-02-12,2023-03-04,,,147,0,Kenneth Torres
162,33,Draft Opinion,Planned,2023-03-04,2023-03-22,,,147,0,Mary Jones
163,33,Client Review,Planned,2023-03-22,2023-04-07,,,147,0,Mary Jones
164,33,Finalization,Planned,2023-04-07,2023-04-21,,,147,0,Kenneth Torres
165,34,Compliance Review,Planned,2023-07-30,2023-10-03,,,361,0,Noah Elliott
166,34,Gap Analysis,Planned,2023-09-28,2023-12-02,,,361,0,Janet Nguyen
167,34,Remediation Plan,Planned,2023-11-25,2024-01-25,,,361,0,Janet Nguyen
168,34,Implementation,Planned,2024-01-19,2024-03-14,,,361,0,Tammy Mayer
169,34,Monitoring,Planned,2024-03-08,2024-04-26,,,361,0,Tammy Mayer
170,35,Compliance Review,Completed,2024-11-30,2025-01-04,2024-11-30,2025-01-02,375,378,Jessica Diaz
171,35,Gap Analysis,Delayed,2025-01-04,2025-02-05,2025-01-17,2025-02-20,375,0,Scott Gonzalez
172,35,Remediation Plan,Delayed,2025-02-05,2025-03-06,2025-02-10,2025-03-18,375,0,Scott Gonzalez
173,35,Implementation,Completed,2025-03-06,2025-04-01,2025-03-06,2025-04-02,375,302,Jessica Diaz
174,35,Monitoring,Completed,2025-03-28,2025-04-24,2025-03-28,2025-04-16,375,404,Scott Gonzalez
175,36,Due Diligence,Completed,2022-11-19,2023-03-21,2022-11-19,2023-04-28,99,134,John Vang
176,36,Negotiation,Completed,2023-03-17,2023-07-11,2023-03-17,2023-08-11,99,108,Noah Elliott
177,36,Documentation,Completed,2023-07-11,2023-10-20,2023-07-11,2023-10-20,99,92,John Vang
178,36,Closing,Completed,2023-10-20,2024-01-19,2023-10-20,2024-01-19,99,121,John Vang
179,37,Research,Completed,2024-10-05,2025-01-31,2024-10-05,2025-01-31,61,71,Brian Williams
180,37,Analysis,Delayed,2025-01-31,2025-05-19,2025-02-10,,61,0,Crystal Watkins
181,37,Draft Opinion,Planned,2025-05-15,2025-08-25,,,61,0,Crystal Watkins
182,37,Client Review,Planned,2025-08-25,2025-11-21,,,61,0,Crystal Watkins
183,37,Finalization,Planned,2025-11-21,2026-02-07,,,61,0,Michelle Wade
184,38,Case Assessment,Planned,2023-02-14,2023-05-23,,,111,0,Shannon Powers
185,38,Discovery,Planned,2023-05-23,2023-08-21,,,111,0,Brian Williams
186,38,Motion Practice,Planned,2023-08-14,2023-11-11,,,111,0,Shannon Powers
187,38,Trial Preparation,Planned,2023-11-07,2024-01-24,,,111,0,Brian Williams
188,38,Trial,Planned,2024-01-24,2024-03-29,,,111,0,Shannon Powers
189,38,Appeal,Planned,2024-03-29,2024-05-25,,,111,0,Brian Williams
190,39,Compliance Review,Planned,2023-10-31,2024-01-13,,,646,0,Tammy Mayer
191,39,Gap Analysis,Planned,2024-01-13,2024-03-21,,,646,0,Cheyenne Anderson
192,39,Remediation Plan,Planned,2024-03-21,2024-05-22,,,646,0,Cheyenne Anderson
193,39,Implementation,Planned,2024-05-18,2024-07-16,,,646,0,Victoria Patterson
194,39,Monitoring,Planned,2024-07-16,2024-09-03,,,646,0,Victoria Patterson
195,40,Research,Planned,2024-11-01,2025-02-08,,,239,0,Marisa Pena
196,40,Analysis,Planned,2025-02-02,2025-05-10,,,239,0,Crystal Watkins
197,40,Draft Opinion,Planned,2025-05-10,2025-08-01,,,239,0,Alyssa Morales
198,40,Client Review,Planned,2025-07-28,2025-10-14,,,239,0,Alyssa Morales
199,40,Finalization,Planned,2025-10-14,2025-12-19,,,239,0,Alyssa Morales
200,41,Due Diligence,Planned,2024-02-09,2024-05-02,,,641,0,Marisa Pena
201,41,Negotiation,Planned,2024-04-29,2024-07-17,,,641,0,Scott Gonzalez
202,41,Documentation,Planned,2024-07-08,2024-09-24,,,641,0,Dalton Peterson
203,41,Closing,Planned,2024-09-24,2024-11-25,,,641,0,Dalton Peterson
204,42,Research,Completed,2024-10-02,2024-11-16,2024-10-02,2024-11-09,108,120,Sandy Price
205,42,Analysis,Delayed,2024-11-16,2024-12-27,2024-11-20,2025-01-09,108,0,Christopher Graves
206,42,Draft Opinion,Completed,2024-12-19,2025-02-02,2024-12-19,2025-01-28,108,140,Christopher Graves
207,42,Client Review,Completed,2025-02-02,2025-03-08,2025-02-02,2025-03-03,108,124,Sandy Price
208,42,Finalization,Completed,2025-03-04,2025-04-07,2025-03-04,2025-04-08,108,100,Sandy Price
209,43,Research,Planned,2023-03-23,2023-07-17,,,226,0,Crystal Watkins
210,43,Analysis,Planned,2023-07-17,2023-10-31,,,226,0,Crystal Watkins
211,43,Draft Opinion,Planned,2023-10-31,2024-02-05,,,226,0,Crystal Watkins
212,43,Client Review,Planned,2024-02-05,2024-05-02,,,226,0,Crystal Watkins
213,43,Finalization,Planned,2024-05-02,2024-07-18,,,226,0,Crystal Watkins
214,44,Due Diligence,Completed,2024-11-06,2025-02-25,2024-11-06,2025-03-05,199,234,Rebecca Boyd
215,44,Negotiation,Completed,2025-02-25,2025-06-07,2025-02-25,2025-05-29,199,182,Rebecca Boyd
216,44,Documentation,Completed,2025-06-07,2025-09-07,2025-06-07,2025-09-21,199,237,Edward Walker
217,44,Closing,Completed,2025-09-07,2025-11-29,2025-09-07,2025-11-21,199,206,Rebecca Boyd
218,45,Document Collection,Planned,2025-02-07,2025-03-30,,,383,0,Jessica Diaz
219,45,Document Review,Planned,2025-03-30,2025-05-16,,,383,0,Jessica Diaz
220,45,Interviews,Planned,2025-05-07,2025-06-28,,,383,0,David Williams
221,45,Analysis,Planned,2025-06-28,2025-08-05,,,383,0,Jessica Diaz
222,45,Report Preparation,Planned,2025-07-26,2025-09-08,,,383,0,Shannon Powers
223,46,Case Assessment,Planned,2024-09-26,2024-11-21,,,129,0,Mary Jones
224,46,Discovery,Planned,2024-11-21,2025-01-11,,,129,0,Mary Jones
225,46,Motion Practice,Planned,2025-01-07,2025-02-27,,,129,0,Mary Jones
226,46,Trial Preparation,Planned,2025-02-27,2025-04-10,,,129,0,Mary Jones
227,46,Trial,Planned,2025-04-02,2025-05-17,,,129,0,Mary Jones
228,46,Appeal,Planned,2025-05-10,2025-06-19,,,129,0,Mary Jones
229,47,Research,Completed,2024-04-01,2024-08-06,2024-04-01,2024-08-30,38,30,Crystal Watkins
230,47,Analysis,Completed,2024-08-06,2024-12-01,2024-08-06,2024-11-20,38,47,Crystal Watkins
231,47,Draft Opinion,Delayed,2024-11-30,2025-03-17,2024-12-13,2025-04-06,38,0,Crystal Watkins
232,47,Client Review,Completed,2025-03-17,2025-06-20,2025-03-17,2025-06-24,38,47,Crystal Watkins
233,47,Finalization,Completed,2025-06-11,2025-09-13,2025-06-11,2025-08-22,38,35,Crystal Watkins
234,48,Due Diligence,Planned,2022-10-19,2023-01-04,,,776,0,Christopher Graves
235,48,Negotiation,Planned,2023-01-04,2023-03-15,,,776,0,Tammy Mayer
236,48,Documentation,Planned,2023-03-15,2023-05-18,,,776,0,Mary Jones
237,48,Closing,Planned,2023-05-18,2023-07-14,,,776,0,Sandy Price
238,49,Due Diligence,Planned,2025-01-23,2025-06-08,,,192,0,Crystal Watkins
239,49,Negotiation,Planned,2025-06-08,2025-10-10,,,192,0,Deborah Gomez
240,49,Documentation,Planned,2025-10-10,2026-01-31,,,192,0,Crystal Watkins
241,49,Closing,Planned,2026-01-23,2026-05-13,,,192,0,Deborah Gomez
242,50,Case Assessment,Planned,2024-12-02,2024-12-28,,,67,0,David Williams
243,50,Discovery,Planned,2024-12-20,2025-01-20,,,67,0,David Williams
244,50,Motion Practice,Planned,2025-01-20,2025-02-10,,,67,0,Gary Vasquez
245,50,Trial Preparation,Planned,2025-02-10,2025-03-01,,,67,0,David Williams
246,50,Trial,Planned,2025-03-01,2025-03-18,,,67,0,Gary Vasquez
247,50,Appeal,Planned,2025-03-12,2025-04-02,,,67,0,Kimberly Morris
248,51,Due Diligence,In Progress,2025-01-25,2025-04-19,2025-01-25,,181,179,Janet Nguyen
249,51,Negotiation,Planned,2025-04-19,2025-07-05,,,181,0,Janet Nguyen
250,51,Documentation,Planned,2025-07-05,2025-09-13,,,181,0,Janet Nguyen
251,51,Closing,Planned,2025-09-07,2025-11-15,,,181,0,Janet Nguyen
252,52,Case Assessment,Planned,2025-01-11,2025-04-10,,,126,0,Jessica Diaz
253,52,Discovery,Planned,2025-04-10,2025-07-01,,,126,0,Noah Elliott
254,52,Motion Practice,Planned,2025-06-25,2025-09-13,,,126,0,Shannon Powers
255,52,Trial Preparation,Planned,2025-09-11,2025-11-19,,,126,0,Jessica Diaz
256,52,Trial,Planned,2025-11-19,2026-01-17,,,126,0,Jessica Diaz
257,52,Appeal,Planned,2026-01-14,2026-03-10,,,126,0,Jessica Diaz
258,53,Due Diligence,Completed,2024-10-08,2025-01-04,2024-10-08,2025-01-12,51,57,Jordan Snyder
259,53,Negotiation,Completed,2025-01-04,2025-03-25,2025-01-04,2025-03-31,51,68,Tammy Mayer
260,53,Documentation,In Progress,2025-03-25,2025-06-06,2025-03-25,,51,50,Alyssa Morales
261,53,Closing,Planned,2025-06-06,2025-08-11,,,51,0,Alyssa Morales
262,54,Case Assessment,Completed,2023-06-11,2023-08-24,2023-06-11,2023-08-24,173,217,Mary Jones
263,54,Discovery,Completed,2023-08-24,2023-10-31,2023-08-24,2023-10-31,173,217,Lisa Smith
264,54,Motion Practice,Completed,2023-10-31,2024-01-01,2023-10-31,2024-01-01,173,201,Mary Jones
265,54,Trial Preparation,Completed,2024-01-01,2024-02-25,2024-01-01,2024-02-25,173,141,Lisa Smith
266,54,Trial,Delayed,2024-02-25,2024-04-14,2024-03-03,2024-04-20,173,0,Mary Jones
267,54,Appeal,Completed,2024-04-14,2024-05-27,2024-04-14,2024-05-27,173,146,Lisa Smith
268,55,Due Diligence,Completed,2022-11-04,2022-12-18,2022-11-04,2022-12-31,298,275,Kimberly Morris
269,55,Negotiation,Completed,2022-12-18,2023-01-27,2022-12-18,2023-01-27,298,351,Kimberly Morris
270,55,Documentation,Completed,2023-01-27,2023-03-04,2023-01-27,2023-03-14,298,283,Kimberly Morris
271,55,Closing,Completed,2023-03-04,2023-04-06,2023-03-04,2023-04-06,298,412,Alyssa Morales
272,56,Case Assessment,Completed,2024-08-16,2024-10-15,2024-08-16,2024-10-21,475,592,Brian Williams
273,56,Discovery,Completed,2024-10-15,2024-12-09,2024-10-15,2024-12-19,475,610,Brian Williams
274,56,Motion Practice,Completed,2024-12-09,2025-01-28,2024-12-09,2025-02-04,475,440,Kimberly Morris
275,56,Trial Preparation,Completed,2025-01-21,2025-03-14,2025-01-21,2025-03-13,475,398,Gabriel Villa
276,56,Trial,Delayed,2025-03-09,2025-04-23,2025-03-23,2025-04-19,475,0,Sarah Doyle
277,56,Appeal,Completed,2025-04-23,2025-05-28,2025-04-23,2025-05-22,475,407,Brian Williams
278,57,Document Collection,Completed,2024-10-25,2024-12-18,2024-10-25,2024-12-18,185,217,Kimberly Morris
279,57,Document Review,Completed,2024-12-13,2025-02-06,2024-12-13,2025-02-09,185,202,Christopher Graves
280,57,Interviews,Completed,2025-02-05,2025-03-23,2025-02-05,2025-03-23,185,188,Christopher Graves
281,57,Analysis,In Progress,2025-03-23,2025-05-03,2025-03-23,,185,205,Kimberly Morris
282,57,Report Preparation,Planned,2025-05-03,2025-06-08,,,185,0,Michael Mcdaniel
283,58,Document Collection,Planned,2024-08-25,2024-11-28,,,173,0,Mary Jones
284,58,Document Review,Planned,2024-11-28,2025-02-23,,,173,0,Mary Jones
285,58,Interviews,Planned,2025-02-23,2025-05-13,,,173,0,Mary Jones
286,58,Analysis,Planned,2025-05-13,2025-07-23,,,173,0,Mary Jones
287,58,Report Preparation,Planned,2025-07-23,2025-09-24,,,173,0,Mary Jones
288,59,Case Assessment,Planned,2024-05-31,2024-08-24,,,33,0,Noah Elliott
289,59,Discovery,Planned,2024-08-24,2024-11-10,,,33,0,Janet Nguyen
290,59,Motion Practice,Planned,2024-11-10,2025-01-20,,,33,0,Janet Nguyen
291,59,Trial Preparation,Planned,2025-01-20,2025-03-25,,,33,0,Noah Elliott
292,59,Trial,Planned,2025-03-25,2025-05-21,,,33,0,Janet Nguyen
293,59,Appeal,Planned,2025-05-21,2025-07-09,,,33,0,Noah Elliott
294,60,Due Diligence,Completed,2025-02-17,2025-04-10,2025-02-17,2025-04-18,911,1239,Scott Gonzalez
